year,RegNo,category,income,measure,type
2002,Kakheti,mean_income,229.19150778943177,Mean,Nominal values
2002,Kakheti,median_income,154.5716589157847,Median,Nominal values
2002,Kakheti,income_mean_infl,392.58963790931153,Mean,Adjusted to inflation (base: 2010 prices)
2002,Kakheti,income_median_infl,264.77085556128833,Median,Adjusted to inflation (base: 2010 prices)
2002,Tbilisi,mean_income,215.08057134354254,Mean,Nominal values
2002,Tbilisi,median_income,147.8349526638836,Median,Nominal values
2002,Tbilisi,income_mean_infl,368.41855284911543,Mean,Adjusted to inflation (base: 2010 prices)
2002,Tbilisi,income_median_infl,253.2313308483347,Median,Adjusted to inflation (base: 2010 prices)
2002,Shida Kartli,mean_income,231.65300944729705,Mean,Nominal values
2002,Shida Kartli,median_income,157.01124260696767,Median,Nominal values
2002,Shida Kartli,income_mean_infl,396.8060246938618,Mean,Adjusted to inflation (base: 2010 prices)
2002,Shida Kartli,income_median_infl,268.9496983430676,Median,Adjusted to inflation (base: 2010 prices)
2002,Kvemo Kartli,mean_income,255.5224737098499,Mean,Nominal values
2002,Kvemo Kartli,median_income,190.88085724597468,Median,Nominal values
2002,Kvemo Kartli,income_mean_infl,437.69281156614994,Mean,Adjusted to inflation (base: 2010 prices)
2002,Kvemo Kartli,income_median_infl,326.96607022134896,Median,Adjusted to inflation (base: 2010 prices)
2002,Samtskhe-Javakheti,mean_income,228.8280066700134,Mean,Nominal values
2002,Samtskhe-Javakheti,median_income,168.07231124840808,Median,Nominal values
2002,Samtskhe-Javakheti,income_mean_infl,391.9669849400611,Mean,Adjusted to inflation (base: 2010 prices)
2002,Samtskhe-Javakheti,income_median_infl,287.8965649818732,Median,Adjusted to inflation (base: 2010 prices)
2002,Adjara A.R.,mean_income,253.06220449360967,Mean,Nominal values
2002,Adjara A.R.,median_income,195.6287546544541,Median,Nominal values
2002,Adjara A.R.,income_mean_infl,433.47853587121205,Mean,Adjusted to inflation (base: 2010 prices)
2002,Adjara A.R.,income_median_infl,335.09889914857956,Median,Adjusted to inflation (base: 2010 prices)
2002,Guria,mean_income,246.22627955366505,Mean,Nominal values
2002,Guria,median_income,203.89722935027999,Median,Nominal values
2002,Guria,income_mean_infl,421.7690562188781,Mean,Adjusted to inflation (base: 2010 prices)
2002,Guria,income_median_infl,349.26224018248445,Median,Adjusted to inflation (base: 2010 prices)
2002,Samegrelo-Zemo Svaneti,mean_income,256.72168797952577,Mean,Nominal values
2002,Samegrelo-Zemo Svaneti,median_income,217.72199611210382,Median,Nominal values
2002,Samegrelo-Zemo Svaneti,income_mean_infl,439.74698495350026,Mean,Adjusted to inflation (base: 2010 prices)
2002,Samegrelo-Zemo Svaneti,income_median_infl,372.94313582104166,Median,Adjusted to inflation (base: 2010 prices)
2002,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,275.1546567229452,Mean,Nominal values
2002,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,240.65604815998256,Median,Nominal values
2002,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,471.32142064865377,Mean,Adjusted to inflation (base: 2010 prices)
2002,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,412.2276244834317,Median,Adjusted to inflation (base: 2010 prices)
2003,Kakheti,mean_income,247.67934194335567,Mean,Nominal values
2003,Kakheti,median_income,181.4457435618103,Median,Nominal values
2003,Kakheti,income_mean_infl,404.88348729610493,Mean,Adjusted to inflation (base: 2010 prices)
2003,Kakheti,income_median_infl,296.6108712657266,Median,Adjusted to inflation (base: 2010 prices)
2003,Tbilisi,mean_income,244.50445767340352,Mean,Nominal values
2003,Tbilisi,median_income,183.33333333333334,Median,Nominal values
2003,Tbilisi,income_mean_infl,399.6934774838463,Mean,Adjusted to inflation (base: 2010 prices)
2003,Tbilisi,income_median_infl,299.69653001821746,Median,Adjusted to inflation (base: 2010 prices)
2003,Shida Kartli,mean_income,290.4094341978775,Mean,Nominal values
2003,Shida Kartli,median_income,219.0340204027904,Median,Nominal values
2003,Shida Kartli,income_mean_infl,474.7347257108604,Mean,Adjusted to inflation (base: 2010 prices)
2003,Shida Kartli,income_median_infl,358.0567411126676,Median,Adjusted to inflation (base: 2010 prices)
